16437,Prefeitura de Três Lagoas,Respeito e Empatia,Pantanal Agora - Interno,,,,http://www.pantanalagora.com.br/,10/09/2020,17/09/2020,
16439,Prefeitura de Três Lagoas,Respeito e Empatia,Imperium Noticias,,,,https://imperiumnoticias.com.br,10/09/2020,15/09/2020,
16441,Prefeitura de Três Lagoas,Respeito e Empatia,Fatos Regionais,,,,http://www.fatosregionais.com.br/,10/09/2020,23/09/2020,
16443,Prefeitura de Três Lagoas,Respeito e Empatia,Tribuna News,,,,https://www.atribunanews.com.br/,14/09/2020,24/09/2020,
16444,Prefeitura de Três Lagoas,Respeito e Empatia,Tribuna MS,,,,https://www.tribunams.com.br/,16/09/2020,21/09/2020,
16447,Prefeitura de Três Lagoas,Respeito e Empatia,Local News MS,,,,https://www.localnewsms.com,10/09/2020,20/09/2020,
16448,Prefeitura de Três Lagoas,Respeito e Empatia,Atualiza MS,,,,http://www.atualizams.com.br,10/09/2020,21/09/2020,
16448,Prefeitura de Três Lagoas,Respeito e Empatia,Atualiza MS - Interno,,,,http://www.atualizams.com.br,14/09/2020,20/09/2020,
16494,Fundo Municipal de Saúde,Campo Grande tem escolha,Top Mídia News,,,,https://www.topmidianews.com.br/,11/09/2020,19/09/2020,
16494,Fundo Municipal de Saúde,Campo Grande tem escolha,Top Mídia News - Interna,,,,https://www.topmidianews.com.br/,11/09/2020,20/09/2020,"CLICK,class,vitrineArea"
16495,Fundo Municipal de Saúde,Campo Grande tem escolha,O Jacaré,,,,https://www.ojacare.com.br/,11/09/2020,24/09/2020,
16497,Fundo Municipal de Saúde,Campo Grande tem escolha,Diário Patriota,,,,https://diariopatriota.com.br/,11/09/2020,22/09/2020,
16498,Fundo Municipal de Saúde,Campo Grande tem escolha,Portal na íntegra,,,,https://portalnaintegra.com/,11/09/2020,17/09/2020,ESC
16496,Fundo Municipal de Saúde,Campo Grande tem escolha,Sul Matogrossense,,,,http://www.osulmatogrossense.com.br/,11/09/2020,19/09/2020,
16499,Fundo Municipal de Saúde,Campo Grande tem escolha,Primeira Notícia,,,,http://primeiranoticia.com.br/,11/09/2020,21/09/2020,
16500,Fundo Municipal de Saúde,Campo Grande tem escolha,Seven News,,,,http://sevennews.com.br/,11/09/2020,19/09/2020,
16517,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Blog da Onça,,,,https://aonca.com.br/,12/09/2020,30/09/2020,
16530,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Terere News,,,,,14/09/2020,18/09/2020,
16529,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,GDS News,,,,http://tvgdsnews.com/,14/09/2020,16/09/2020,
16531,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Semana On,,,,http://www.semanaon.com.br/,14/09/2020,18/09/2020,
16516,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Top Mídia News,,,,https://www.topmidianews.com.br/,21/09/2020,28/09/2020,
16516,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Top Mídia News,,,,https://www.topmidianews.com.br/,21/09/2020,30/09/2020,
16532,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Atual News,,,,,14/09/2020,18/09/2020,
16534,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Blog Marco Eusébio,,,,,14/09/2020,17/09/2020,
16536,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Campo Grande Hoje News,,,,http://www.campograndehoje.com.br,14/09/2020,18/09/2020,
16533,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Blog Manoel Afonso,,,,http://manoelafonso.com.br/,14/09/2020,15/09/2020,
16535,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Bola na Rede MS,,,,,14/09/2020,17/09/2020,
16537,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Campo Grande News,,,,https://www.campograndenews.com.br/,14/09/2020,26/09/2020,
16538,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Capital News,,,,https://capitalnews.com.br/,14/09/2020,20/09/2020,
16539,Prefeitura Municipal de Campo Grande,Campo Grande tem escolha,Central Mídia MS,,,,http://www.centralmidiams.com,14/09/2020,19/09/2020,
